Circuit,WindSustained,GustSustained,Thresholds,FPI,Reasons,Month,pspsActivated
SHOVEL,12.6,20.5,25/40,4.1,,NOV,0
LOUCKS,9.1,17.9,31/46,3.58,,NOV,0
DAVENPORT,13.7,15.1,31/46,3.02,,NOV,0
DAVENPORT,13.2,18.4,31/46,3.68,,NOV,0
SAND CANYON,11.2,21,31/46,4.2,,NOV,0
SAND CANYON,8.2,17.7,31/46,3.54,,NOV,0
CAMP BALDY,8.5,20.7,31/46,4.14,,NOV,0
FERRARA,8,17.8,31/46,3.56,,NOV,0
BIG ROCK,10.2,15.2,31/46,3.04,,NOV,0
BIG ROCK,14.6,21.6,31/46,4.32,,NOV,0
ENERGY,11.2,15,31/46,3,,NOV,0
ENERGY,12.2,19.5,31/46,3.9,,NOV,0
GUITAR,12,16.2,31/46,3.24,,NOV,0
ATENTO,8.7,21.2,31/46,4.24,,NOV,0
ATENTO,10.1,15.8,31/46,3.16,,NOV,0
ATENTO,8.7,20.1,31/46,4.02,,NOV,0
RUSTIC,12.4,21.3,31/46,4.26,,NOV,0
AMETHYST,11.6,18.9,31/46,3.78,,NOV,0
VARGAS,11.7,19.5,31/46,3.9,,NOV,0
ICEHOUSE,12.6,22,31/46,4.4,,NOV,0
CALSTATE,10.4,20,31/46,4,,NOV,0
BLUE CUT,13.6,15.1,31/46,3.02,,NOV,0
IMPALA,7.8,20.1,31/46,4.02,,NOV,0
NORTHPARK,8.3,19.9,31/46,3.98,,NOV,0
NORTHPARK,11.5,17.1,31/46,3.42,,NOV,0
ACOSTA,12.1,16,31/46,3.2,,NOV,0
CANYON-,10.4,17,40/50,3.4,,NOV,0
ANTON,9.8,15.4,31/46,3.08,,NOV,0
TAPO,11.9,20.3,31/46,4.06,,NOV,0
TWIN LAKES,11.6,21.8,31/46,4.36,,NOV,0
High Wind Trend TUFA,11.5,18,31/46,3.6,,NOV,0
High Wind Trend SKI HI,10.5,18.9,31/46,3.78,,NOV,0
High Wind Trend SKI HI,7.4,19.8,31/46,3.96,,NOV,0
Exceeded Threshold STROSNIDER,14.3,15,31/46,3,,NOV,0
ROBINSON CREEK,12.2,19,31/46,3.8,,NOV,0
Met Threshold CAMPANULA,11.6,16.4,31/46,3.28,,NOV,0
High Wind Trend CAMPANULA,11.2,18.2,31/46,3.64,,NOV,0
ANTON,8.6,18.2,31/46,3.64,,SEP,0
BOOTLEGGER,7.9,21.8,31/46,4.36,,SEP,0
LOUCKS,10.6,18.3,31/46,3.66,,SEP,0
RED BOX,11.1,16.2,31/46,3.24,,SEP,0
SHOVEL,8.8,16.5,31/46,3.3,,SEP,0
SAND CANYON,11.1,18.3,31/46,3.66,,SEP,0
Energy,9.1,17.5,31/46,3.5,,OCT,0
ANTON,10,20.7,31/46,4.14,,OCT,0
ACOSTA,14,18.2,31/46,3.64,,OCT,0
ACOSTA,11.1,21.3,31/46,4.26,,OCT,0
AMETHYST,13.6,18,31/46,3.6,,OCT,0
ANTON,7.1,21.8,31/46,4.36,,OCT,0
ANTON,14.5,21.5,31/46,4.3,,OCT,0
ATENTO,10.8,20.5,31/46,4.1,,OCT,0
AVANTI,8.6,19.4,31/46,3.88,,OCT,0
BEAR VALLEY,14.6,15.7,18/29,3.14,,OCT,0
BEAR VALLEY,11.5,18.6,18/29,3.72,,OCT,0
BIG ROCK,7.7,18.3,31/46,3.66,,OCT,0
BLACKHILLS,7.4,20.6,31/46,4.12,,OCT,0
BOOTLEGGER,7.6,15.5,31/46,3.1,,OCT,0
BOOTLEGGER,12,16.3,31/46,3.26,,OCT,0
CABANA,8,20.7,31/46,4.14,,OCT,0
CALSTATE,9.6,15.6,31/46,3.12,,OCT,0
CANEBRAKE,12.6,17.5,31/46,3.5,,OCT,0
CLUB OAKS,12.8,16.2,31/46,3.24,,OCT,0
COOLER,12,15.3,31/46,3.06,,OCT,0
DAVENPORT,14.5,20.2,31/46,4.04,,OCT,0
DAVENPORT,13.5,18.2,31/46,3.64,,OCT,0
ECHO,10.5,16.8,31/46,3.36,,OCT,0
ENERGY,11,15.6,31/46,3.12,,OCT,0
ENERGY,11.6,21.5,31/46,4.3,,OCT,0
FERRARA,7.8,16,31/46,3.2,,OCT,0
GALENA,7.7,17.6,31/46,3.52,,OCT,0
GOWAN,13.1,16.7,31/46,3.34,,OCT,0
GREEN RIVER,9.3,21,30/39,4.2,,OCT,0
GUITAR,11.6,17.6,31/46,3.52,,OCT,0
HILLFIELD,12.3,20.1,31/46,4.02,,OCT,0
IMPALA,14.7,16.5,31/46,3.3,,OCT,0
JEEP,10.2,16,27/43,3.2,,OCT,0
KICKAPOO,11.7,16.2,31/46,3.24,,OCT,0
TRAILKIMDALE,11.2,19.4,31/45,3.88,,OCT,0
LOPEZ,12,16.3,31/46,3.26,,OCT,0
LOPEZ,12.5,19.1,31/46,3.82,,OCT,0
MACIEL,11.2,21.4,27/42,4.28,,OCT,0
MODJESKA,9.4,21,30/44,4.2,,OCT,0
NEPAL,10.4,20.4,31/44,4.08,,OCT,0
RED BOX,11.3,19.6,31/46,3.92,,OCT,0
RUSTIC,10.7,19.7,31/46,3.94,,OCT,0
SAND,13.5,17.8,31/46,3.56,,OCT,0
CANYONSAND,14.9,21.5,31/46,4.3,,OCT,0
CANYONSHOVEL,11,15,25/40,3,,OCT,0
SUTT,10.5,19.6,31/46,3.92,,OCT,0
SUTT,10.7,15.1,31/46,3.02,,OCT,0
SWEETWATER,13.3,15.9,31/46,3.18,,OCT,0
TAIWAN,7.3,17.9,31/46,3.58,,OCT,0
TAIWAN,7.2,16.2,31/46,3.24,,OCT,0
TAPO,12.3,19.1,31/46,3.82,,OCT,0
TWIN LAKES,14.7,18.2,31/45,3.64,,OCT,0
VARGAS,11.2,20.9,31/46,4.18,,OCT,0
VERA CRUZ,11.4,18.5,28/42,3.7,,OCT,0
VERDEMONT,11.4,18.1,31/46,3.62,,OCT,0
VIDEO,8.5,17.9,28/45,3.58,,OCT,0
