Circuit,WindSustained,GustSustained,Thresholds,FPI,Reasons,Month,pspsActivated
THACHER,12.6,45.3,29/46,13.92,High Wind Trend - Exceeded FPI,DEC,1
PICK,21.3,43.6,31/46,12.11,High Wind Trend - Exceeded FPI,NOV,1
STUBBY,9,21.1,31/46,4.22,,DEC,0
GUITAR,13.6,17.9,31/46,3.58,,DEC,0
CLARINET,28.8,46.5,31/46,12,Exceeded Threshold - Exceeded FPI,DEC,1
FROZEN,32,40,31/46,13.08,Exceeded Threshold - Exceeded FPI,NOV,1
DONLON,14.7,21,31/46,4.2,,DEC,0
SHOVEL,11.7,21.6,31/46,4.32,,OCT,0
CASTRO,31.1,46,30/46,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
DUKE,30.8,44.6,30/46,12,Exceeded Threshold - Exceeded FPI,DEC,1
METTLER,10,15.9,23/37,3.18,,NOV,0
PYTHON,10.5,16.4,31/46,3.28,,OCT,0
SHOVEL,10.8,20,25/40,4,,OCT,0
FROZEN,14.3,19.9,31/46,3.98,,NOV,0
HILLFIELD,31.4,48.8,31/46,12.6,Exceeded Threshold - Exceeded FPI,JAN,1
IMPALA,7.8,20.1,31/46,4.02,,NOV,0
AMBERCREST,29.5,46.8,31/44,12.4,Exceeded Threshold - Exceeded FPI,JAN,1
RUSTIC,28.1,44.9,31/46,12.89,High Wind Trend - Exceeded FPI,NOV,1
TAPO,17.1,42.7,31/46,13.03,High Wind Trend - Exceeded FPI,NOV,1
DYSART,25.6,47.8,31/46,12.16,Exceeded Threshold - Exceeded FPI,NOV,1
CLUB OAKS,8.7,19.5,31/46,3.9,,DEC,0
ZONE,23.9,41.6,31/46,12.95,High Wind Trend - Exceeded FPI,DEC,1
AMETHYST,13.6,18,31/46,3.6,,OCT,0
PINE COVE,16.2,47.2,27/44,13.39,Exceeded Threshold - Exceeded FPI,DEC,1
TWIN LAKES,42,59.3,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
GUNSITE,28.3,42,31/46,13.14,High Wind Trend - Exceeded FPI,NOV,1
MIDDLE ROAD,14.1,21.4,26/42,4.28,,DEC,0
AMBERCREST,11,18.3,31/44,3.66,,OCT,0
DARTMOUTH,24.5,48.4,31/45,12,Exceeded Threshold - Exceeded FPI,JAN,1
MACIEL,38.6,78.2,27.59/42.17,,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
VETERANS,12.4,21.5,31/46,4.3,,NOV,0
CASSIDY,12.1,20.2,31/46,4.04,,DEC,0
COBRA,36,50.5,31/42,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
COBRA,11.9,21,31/42,4.2,,DEC,0
DUKE,7.8,15.9,30/46,3.18,,DEC,0
TAPO,13.6,22,31/46,4.4,,OCT,0
CABANA,9.1,18.7,31/46,3.74,,OCT,0
BOOTLEGGER,22.2,47.1,31/46,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
VERA CRUZ,11.4,18.5,28/42,3.7,,OCT,0
CANYONBOOTLEGGER,12.2,17.1,31/46,3.42,,DEC,0
RAINBOW,14,21.2,31/46,4.24,,DEC,0
ACOSTA,10.3,21.8,31/46,4.36,,OCT,0
VARGAS,11.7,19.5,31/46,3.9,,NOV,0
BLUE CUT,9.1,16.4,31/46,3.28,,NOV,0
SUTT,14,47.79,31/46,12.57,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
SHERWOOD,9.1,21.2,31/46,4.24,,OCT,0
ENERGY,10.2,16.4,31/46,3.28,,OCT,0
ZONE,12.2,19.5,31/46,3.9,,NOV,0
BING,14.3,18.2,31/45,3.64,,OCT,0
PHEASANT,25,43,31/45,14.43,High Wind Trend - Exceeded FPI,DEC,1
REJADA,8,21.4,31/46,4.28,,DEC,0
EASTER,9.7,15.1,29/41,3.02,,NOV,0
ACOSTA,11.6,19.1,31/46,3.82,,NOV,0
EVERETT,9.4,16.8,31/46,3.36,,OCT,0
STRATHERN,14.3,19.8,31/46,3.96,,DEC,0
TUFA,8.1,21.9,31/46,4.38,,NOV,0
GUITAR,27.35,44.35,31/46,12.65,High Wind Trend - Exceeded FPI,JAN,1
GUNSITE,28.3,42,31/46,13.14,High Wind Trend - Exceeded FPI,NOV,1
SHOVEL,9.4,19.6,25/40,3.92,,DEC,0
RACER,36.6,51.7,31/46,12,Exceeded Threshold - Exceeded FPI,DEC,1
CLUB OAKS,12.8,16.2,31/46,3.24,,OCT,0
RAINBOW,7.5,16.8,31/46,3.36,,NOV,0
IMPALA,42.79,60.13,31/46,12.58,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
STUBBY,26.5,46.4,31/46,13.03,Exceeded Threshold - Exceeded FPI,NOV,1
SANTORINI,17.5,42.6,31/42,12.88,Exceeded Threshold - Exceeded FPI,DEC,1
PICK,9,20.9,31/46,4.18,,NOV,0
BIG ROCK,26.2,37.4,31/46,13,High Wind Trend - Exceeded FPI,NOV,1
BOOTLEGGER,11.7,17.1,31/46,3.42,,NOV,0
High Wind Trend CAMPANULA,30.7,40.3,31/46,12.52,Exceeded FPI,NOV,1
SAVORY,19.2,40.5,29/42,12.93,High Wind Trend - Exceeded FPI,DEC,1
TWIN LAKES,27.3,49.3,31/45,12.99,Exceeded Threshold - Exceeded FPI,NOV,1
CUTHBERT,8,21.3,31/46,4.26,,NOV,0
MIDDLE ROAD,8.6,15.9,26/42,3.18,,NOV,0
DARTMOUTH,8.1,19.2,31/45,3.84,,NOV,0
ENERGY,25.8,48.1,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
BEAR VALLEY,11.5,18.6,18/29,3.72,,OCT,0
DAVENPORT,24.3,47.9,31/46,12.11,Exceeded Threshold - Exceeded FPI,NOV,1
CONDOR,27.2,41.9,31/46,12,High Wind Trend - Exceeded FPI,NOV,1
ANTON,26.4,42.7,31/46,12.97,High Wind Trend - Exceeded FPI,DEC,1
EASTER,23.4,42.7,29/41,12,Exceeded Threshold - Exceeded FPI,DEC,1
VARGAS,10.7,22,31/46,4.4,,NOV,0
KICKAPOO,25.16,45.74,31/46,12.2,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
PASCAL,21.8,44.9,31/44,12.99,Exceeded Threshold - Exceeded FPI,NOV,1
BOUQUET,11.1,19.4,31/46,3.88,,OCT,0
LAZARO,26,43.1,28/40,12,Exceeded Threshold - Exceeded FPI,NOV,1
STRATHERN,23.1,47.1,31/46,12.93,Exceeded Threshold - Exceeded FPI,DEC,1
CAESAR,29,49,31/45.8,12,Exceeded Threshold - Exceeded FPI,JAN,1
CANYONBOOTLEGGER,24.5,45.1,31/46,12.44,High Wind Trend - Exceeded FPI,DEC,1
ENERGY,29.46,41.87,31/46,12.1,High Wind Trend - Exceeded FPI,NOV,1
METTLER,10.6,20.8,31/46,4.16,,DEC,0
SAUNDERS,16.2,47.2,27/44,14.4,Exceeded Threshold - Exceeded FPI,DEC,1
LOPEZ,9.4,21.4,31/46,4.28,,NOV,0
VARGAS,12.8,20.4,31/46,4.08,,DEC,0
ATENTO,,44,31/46,12.5,High Wind Trend - Exceeded FPI,OCT,1
GUITAR,8,19.5,31/46,3.9,,OCT,0
VARGAS,10.2,17.9,31/46,3.58,,DEC,0
GUITAR,32.11,44.21,31/46,12.51,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
TUBA,29.6,55.2,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
AMETHYST,11.6,18.9,31/46,3.78,,NOV,0
DAVENPORT,13.2,18.4,31/46,3.68,,NOV,0
RICARDO,12.8,17.9,31/46,3.58,,OCT,0
STAR ROCK,30,51.3,31/44,12.4,Exceeded Threshold - Exceeded FPI,JAN,1
RAINBOW,21.2,45.7,31/46,13.9,High Wind Trend - Exceeded FPI,DEC,1
FROZEN,11.1,16.1,31/46,3.22,,NOV,0
PURCHASE,23,43,31/46,13.03,High Wind Trend - Exceeded FPI,NOV,1
ECHO,24.4,44.4,31/46,14.36,High Wind Trend - Exceeded FPI,DEC,1
FINGAL,26.8,53.1,31/46,12.17,Exceeded Threshold - Exceeded FPI,NOV,1
CUTHBERT,32.4,50.5,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
GNATCATCHER,9.7,20,31/46,4,,NOV,0
TUFA,9.4,18.7,31/46,3.74,,DEC,0
FINGAL,10.2,18,31/46,3.6,,DEC,0
SAVORY,9.1,20.6,29/42,4.12,,OCT,0
GUNSITE,12.5,19.7,31/46,3.94,,NOV,0
RED BOX,11.5,17.8,31/46,3.56,,NOV,0
ENERGY,10.6,17.6,31/46,3.52,,OCT,0
RUSTIC,10.7,19.7,31/46,3.94,,OCT,0
CALSTATE,38.32,65.74,31/46,12.57,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
DAVENPORT,17.5,42.2,31/46,14.54,High Wind Trend - Exceeded FPI,DEC,1
ICE HOUSE,15.2,39.6,31/46,12.34,High Wind Trend - Exceeded FPI,DEC,1
PICK,12.6,16.2,31/46,3.24,,OCT,0
DAVENPORT,23.61,43.99,31/46,12.11,High Wind Trend - Exceeded FPI,NOV,1
FROZEN,32,42,31/46,12,Exceeded Threshold - Exceeded FPI,DEC,1
GUITAR,12,16.2,31/46,3.24,,NOV,0
DELUZ,13.1,17.5,27/44,3.5,,NOV,0
LOCKNER,13.6,44.1,31/45,13.02,High Wind Trend - Exceeded FPI,NOV,1
PYTHON,25.9,41.72,31/46,12.63,High Wind Trend - Exceeded FPI,JAN,1
SHOVEL,11.9,16.5,25/40,3.3,,NOV,0
ENERGY,48.62,68.61,31/46,12.54,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
VETERANS,14,20.1,31/46,4.02,,OCT,0
CANYON-,25.7,36.83,40/50,13.96,High Wind Trend - Exceeded FPI,NOV,1
ANGUS,8.4,21.7,31/46,4.34,,NOV,0
SAND CANYON,13.8,15.5,31/46,3.1,,DEC,0
High Wind Trend TUFA,27.51,37.7,31/46,12.27,Exceeded FPI,NOV,1
ENERGY,12.2,19.5,31/46,3.9,,NOV,0
VARGAS,15.22,39.24,31/46,12.92,High Wind Trend - Exceeded FPI,NOV,1
RACER,10.4,15.6,31/46,3.12,,DEC,0
BIANCO,19.2,39.9,31/40,12.88,High Wind Trend - Exceeded FPI,DEC,1
ANACONDA,22.19,40.33,31/42.4,12.61,High Wind Trend - Exceeded FPI,JAN,1
METTLER,9.8,16.8,23/37,3.36,,NOV,0
PARINA,16.8,38.3,28/36,12,Exceeded Threshold - Exceeded FPI,DEC,1
POWER,7,20.9,31/46,4.18,,NOV,0
RACER,29.8,43.7,31/46,12.6,High Wind Trend - Exceeded FPI,JAN,1
HILLFIELD,12.3,20.1,31/46,4.02,,OCT,0
SHOVEL,22.8,31.9,25/40,12.18,High Wind Trend - Exceeded FPI,NOV,1
PATRICIA,23.9,45.1,31/46,12,High Wind Trend - Exceeded FPI,DEC,1
TOGA,13.4,17.1,31/41,3.42,,OCT,0
SANTORINI,7.2,17.8,31/42,3.56,,DEC,0
ESTABAN,10.6,15.8,31/45,3.16,,OCT,0
ENCHANTED,29.4,53.2,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
ENERGY,30.9,51.2,31/46,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
ROSA,32.1,49.9,31/46,12.1,Exceeded Threshold - Exceeded FPI,JAN,1
EVERETT,31.7,61.2,31/46,12.1,Exceeded Threshold - Exceeded FPI,JAN,1
CARMELITA,29,59,31/46,13.7,Exceeded Threshold - Exceeded FPI,JAN,1
COLLINS,15.7,46.1,31/43,12.96,Exceeded Threshold - Exceeded FPI,NOV,1
FLAKE,14.3,19.2,28/36,3.84,,NOV,0
ANTON,26.4,42.7,31/46,12.97,High Wind Trend - Exceeded FPI,DEC,1
DUKE,14.5,16.7,30/46,3.34,,DEC,0
GNATCATCHER,31.9,44.7,31/46,13.6,Exceeded Threshold - Exceeded FPI,DEC,1
DE MILLE,9.9,19.9,31/46,3.98,,DEC,0
FROZEN,26,35,31/46,12.03,High Wind Trend - Exceeded FPI,NOV,1
NAPOLEON,12.4,21.2,31/45,4.24,,DEC,0
ZONE,24.5,44.6,31/46,13.01,High Wind Trend - Exceeded FPI,NOV,1
CONDOR,10.5,17.3,31/46,3.46,,OCT,0
Met Threshold CAMPANULA,11.6,16.4,31/46,3.28,,NOV,0
ANTON,34.54,56.85,31/46,12.51,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
ENERGY,33.3,45.7,31/46,12.2,Exceeded Threshold - Exceeded FPI,JAN,1
FLAKE,20.3,41.7,28/36,12,Exceeded Threshold - Exceeded FPI,NOV,1
CAMP BALDY,17.02,45.52,31/46,12.84,High Wind Trend - Exceeded FPI,NOV,1
SAND CANYON,30.6,40.3,31/46,12.11,High Wind Trend - Exceeded FPI,NOV,1
NAPA,11,18.7,28/39,3.74,,DEC,0
FINGAL,13.7,20.9,31/46,4.18,,DEC,0
TAHQUITZ,13.1,22,31/46,4.4,,NOV,0
HONEYCRISP,9.5,15.2,24/42,3.04,,NOV,0
ESTABAN,26,51.1,26/38,13.8,Exceeded Threshold - Exceeded FPI,DEC,1
STEEL,14.4,19.6,30/43,3.92,,NOV,0
GRAPEVINE PEAK,42,55,31/46,12,High Wind Trend - Exceeded FPI,DEC,1
ENERGY,10.1,18.5,31/46,3.7,,DEC,0
FINGAL,28.8,39.2,31/46,12.09,High Wind Trend - Exceeded FPI,DEC,1
BIG ROCK,7.7,18.3,31/46,3.66,,OCT,0
ATENTO,30.5,46.3,31/46,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
VARGAS,12.9,20.7,31/46,4.14,,OCT,0
CORSAIR,14.7,16.5,30/42,3.3,,OCT,0
METTLER,27,40,23/37,12,Exceeded Threshold - Exceeded FPI,NOV,1
ATENTO,19.1,41.57,31/46,12.93,High Wind Trend - Exceeded FPI,NOV,1
STAR ROCK,26.3,43.4,31/44,12,High Wind Trend - Exceeded FPI,NOV,1
WHITECLIFF,34.2,48,31/46,12.42,Exceeded Threshold - Exceeded FPI,JAN,1
CUTHBERT,32.6,46.3,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
CUTHBERT,30,39.3,31/46,12.5,High Wind Trend - Exceeded FPI,JAN,1
MACIEL,29.5,42.1,28/42,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
IMPALA,10.7,21.4,31/46,4.28,,NOV,0
FROZEN,19,24,31/46,12.7,Preemptive: To coordinate with PG&E resources,JAN,1
ARROWHEAD,12.8,15.7,40/58,3.14,,NOV,0
SAND CANYON,10.2,20.3,31/46,4.06,,OCT,0
BOOTLEGGER,,47.86,31/46,14.15,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
GREEN RIVER,9.3,21,30/39,4.2,,OCT,0
Met Threshold CAMPANULA,30.7,40.3,31/46,12.52,Exceeded FPI,NOV,1
ESTABAN,7.8,16.9,31/44,3.38,,OCT,0
ESTABAN,21.6,43.26,31/44.8,13.4,High Wind Trend - Exceeded FPI,JAN,1
ACOSTA,29.56,61.16,31/46,13.92,High Wind Trend - Exceeded FPI,NOV,1
CASTRO,24.8,41.6,30/46,13.04,High Wind Trend - Exceeded FPI,NOV,1
RMV 1243,14.3,19.3,31/46,3.86,,NOV,0
MIDDLE ROAD,7.1,17.9,26/42,3.58,,OCT,0
RACER,36,50.5,31/46,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
CAIN RANCH,12.3,17.9,31/46,3.58,,NOV,0
MACIEL,14.8,15.7,28/42,3.14,,OCT,0
LOPEZ,12.1,21,31/46,4.2,,DEC,0
CUDDEBACK,27,40,23/37,12,Exceeded Threshold - Exceeded FPI,NOV,1
GREAT SALT,7.3,18.2,29/42,3.64,,NOV,0
ANTON,21.4,42.5,31/46,13.9,High Wind Trend - Exceeded FPI,DEC,1
LOUCKS,21.3,40,31/46,13.08,High Wind Trend - Exceeded FPI,NOV,1
High Wind Trend SKI HI,10.5,18.9,31/46,3.78,,NOV,0
CASTRO,14.9,21.1,30/46,4.22,,DEC,0
SWEETWATER,38.54,53.2,31/46,13.44,Exceeded Threshold - Exceeded FPI,JAN,1
PHEASANT,14.3,20.8,31/45,4.16,,DEC,0
ENERGY,12.2,19.1,31/46,3.82,,DEC,0
DAVENPORT,26.1,43.5,31/46,12.72,High Wind Trend - Exceeded FPI,JAN,1
CHAWA,14,19.3,31/46,3.86,,OCT,0
ECHO,12.3,20.3,31/46,4.06,,OCT,0
GUITAR,13.1,17.2,31/46,3.44,,NOV,0
GRAPEVINE PEAK,32,40,31/46,12.07,Exceeded Threshold - Exceeded FPI,NOV,1
BOOTLEGGER,14.7,16.5,31/46,3.3,,NOV,0
ARLENE,10.1,15.5,31/46,3.1,,NOV,0
LOUCKS,23.6,36.9,31/46,12.8,Source Circuit De-Energized: Shovel,JAN,1
SWEETWATER,36.23,62.25,31/46,12.57,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
GUNSITE,12.2,16.7,31/46,3.34,,DEC,0
TIMBER,22.4,43.7,31/46,12.96,High Wind Trend - Exceeded FPI,DEC,1
SADDLEBACK,25.6,47.8,31/46,12.07,Exceeded Threshold - Exceeded FPI,NOV,1
PYTHON,25.9,41.72,31/46,12.63,High Wind Trend - Exceeded FPI,JAN,1
DIAMONDBACK,28.6,43.1,31/42,12.6,Exceeded Threshold - Exceeded FPI,JAN,1
GALENA,7.7,17.6,31/46,3.52,,OCT,0
SHOVEL,26.1,43.5,25/40,12.88,Exceeded Threshold - Exceeded FPI,JAN,1
HILLCREST,9.9,22,31/45,4.4,,OCT,0
CALSTATE,13.4,20.5,31/46,4.1,,OCT,0
ANTON,8.4,20.8,31/46,4.16,,DEC,0
DAVENPORT,23.78,49.47,31/46,12.57,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
CONDOR,10.8,18.4,31/46,3.68,,DEC,0
SHOVEL,23.6,44,25/40,12.12,High Wind Trend - Exceeded FPI,NOV,1
IMPALA,25.7,36.83,31/46,12.95,High Wind Trend - Exceeded FPI,NOV,1
PETIT,33.6,47.1,31/46,12,Exceeded Threshold - Exceeded FPI,DEC,1
VIDEO,21.75,49.76,28/45,12.54,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
ECHO,29.7,44.4,31/46,13,High Wind Trend - Exceeded FPI,DEC,1
LAUDA,20.2,41.5,31/45,12.97,High Wind Trend - Exceeded FPI,DEC,1
STEEL,27.1,42.3,30/43,12.94,High Wind Trend - Exceeded FPI,DEC,1
NAPOLEON,13.6,19.4,31/45,3.88,,NOV,0
LARCH,9.9,21.7,31/46,4.34,,OCT,0
ENERGY,49.1,64.8,31/45,12.4,Exceeded Threshold - Exceeded FPI,JAN,1
GOWAN,30.2,48.4,31/46,12.57,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
BOOTLEGGER,28.39,43.18,31/46,14.15,High Wind Trend,OCT,1
ESTABAN,19.7,40.5,31/45,12.95,High Wind Trend - Exceeded FPI,DEC,1
PASCAL,13.4,16.1,31/44,3.22,,NOV,0
SAVORY,11.5,17.5,29/42,3.5,,DEC,0
BONNEVILLE,12.5,21.3,28/40,4.26,,NOV,0
SAVORY,23.5,37.9,29/42,13.97,High Wind Trend - Exceeded FPI,NOV,1
EASTER,32,53.9,29/41,12,Exceeded Threshold - Exceeded FPI,JAN,1
SHOVEL,16,37,31/46,14.84,Exceeded Threshold - Exceeded FPI,SEP,1
SNOW VALLEY,21.3,50.3,31/46,12.17,Exceeded Threshold - Exceeded FPI,DEC,1
CONDOR,7.2,16.8,31/46,3.36,,NOV,0
NAPA,24.6,40.3,28/39,12,Exceeded Threshold - Exceeded FPI,DEC,1
EASTER,23.5,37.9,29/41,12.97,High Wind Trend - Exceeded FPI,NOV,1
CASSIDY,26.2,49.9,31/46,12,Exceeded Threshold - Exceeded FPI,DEC,1
SADDLEBACK,13.4,18.6,31/46,3.72,,DEC,0
COBRA,14.4,17.3,31/42,3.46,,OCT,0
SADDLEBACK,14.6,17.8,31/46,3.56,,NOV,0
METTLER,25.1,37.5,31/46,13.14,High Wind Trend - Exceeded FPI,DEC,1
DONLON,32.1,49.9,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
DIAMONDBACK,8.9,21,31/42,4.2,,OCT,0
ICE HOUSE,15,17,31/46,3.4,,DEC,0
OAK GLEN,10.8,21.1,27/41,4.22,,DEC,0
COVENTRY,8.7,21.3,31/46,4.26,,OCT,0
GINGER,20.3,32.2,28/40,12.02,High Wind Trend - Exceeded FPI,NOV,1
FERRARA,170.02,45.52,31/46,12.93,High Wind Trend - Exceeded FPI,NOV,1
SAND CANYON,35,53,31/46,,Exceeded Threshold - Exceeded FPI,SEP,1
ENERGY,32.5,49.6,31/46,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
BIG ROCK,33.67,48.08,31/46,12.1,High Wind Trend - Exceeded FPI,NOV,1
ZONE,22.6,38.4,31/46,13.01,High Wind Trend - Exceeded FPI,NOV,1
IMPALA,29.7,55.2,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
ECHO,20.42,45.89,31/46,12.52,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
LYONS,20.4,39.5,31/46,12.6,High Wind Trend - Exceeded FPI,JAN,1
DYSART,7.1,21.7,31/46,4.34,,DEC,0
BALCOM,32.2,46.4,31/46,13.8,Exceeded Threshold - Exceeded FPI,DEC,1
NAPOLEON,10.6,16.7,31/45,3.34,,NOV,0
MORGANSTEIN,14.6,21.5,31/46,4.3,,OCT,0
TAPO,9.8,17.9,31/46,3.58,,DEC,0
TWIN LAKES,23.82,55.09,31/46,12,High Wind Trend - Exceeded FPI,NOV,1
ESTABAN,20.3,49.9,31/45,13.8,Exceeded Threshold - Exceeded FPI,DEC,1
GNATCATCHER,12,16.7,31/46,3.34,,NOV,0
SWEETWATER,11.5,17.1,31/46,3.42,,OCT,0
ECHO,9.5,18.4,31/46,3.68,,DEC,0
JORDAN,21.2,46.8,27/46,12.98,Exceeded Threshold - Exceeded FPI,NOV,1
REVERSE PEAK,16.1,48.2,31/46,12.47,Exceeded Threshold - Exceeded FPI,NOV,1
BOOTLEGGER,11.3,21.7,31/46,4.34,,DEC,0
THACHER,13.7,16.7,29/46,3.34,,DEC,0
LOUCKS,,,31/46,12.43,Source Circuit De- - Energized: Shovel,JAN,1
CHAWA,27,44.4,31/46,13.52,High Wind Trend - Exceeded FPI,NOV,1
PURCHASE,13.7,20.4,31/46,4.08,,NOV,0
AVANTI,8.7,20.4,31/46,4.08,,OCT,0
STEEL,23.7,45.1,30/43,12.94,Exceeded Threshold - Exceeded FPI,DEC,1
GNATCATCHER,24.7,41.7,31/46,13.53,High Wind Trend - Exceeded FPI,NOV,1
NAPOLEON,14.7,17.3,31/45,3.46,,DEC,0
BELPAC,8.7,18.6,31/42,3.72,,OCT,0
HILLFIELD,13.5,17.5,31/46,3.5,,OCT,0
STORES,10.5,20.6,31/46,4.12,,DEC,0
STEEL,12.6,19.8,30/43,3.96,,DEC,0
CORSAIR,12.2,16.4,30/42,3.28,,OCT,0
ATENTO,10.1,15.8,31/46,3.16,,NOV,0
GILLIBRAND,12,17.9,31/46,3.58,,NOV,0
BALCOM,26.5,34.7,31/46,12.95,High Wind Trend - Exceeded FPI,NOV,1
CUTHBERT,15,21.1,31/46,4.22,,OCT,0
LOPEZ,9.2,18.7,31/46,3.74,,OCT,0
AVANTI,32.9,55,31/46,12.4,Exceeded Threshold - Exceeded FPI,JAN,1
COVENTRY,28.7,47.4,31/46,12.6,Exceeded Threshold - Exceeded FPI,JAN,1
SONOMA,11.9,17.7,28/39,3.54,,NOV,0
NAPOLEON,21.5,40.1,31/45,14.04,High Wind Trend - Exceeded FPI,NOV,1
LARCH,38,54,31/46,12.43,Exceeded Threshold - Exceeded FPI,JAN,1
GREEN RIVER,30,51.3,31/40,12.4,Exceeded Threshold - Exceeded FPI,JAN,1
PHEASANT,7.9,18.9,31/45,3.78,,DEC,0
JONAGOLD,13.7,20.8,28/39,4.16,,OCT,0
ROUNDEL,26.7,41.1,31/44,14.04,High Wind Trend - Exceeded FPI,NOV,1
CABANA,29.9,49.3,31/46,12.4,Exceeded Threshold - Exceeded FPI,JAN,1
BIRCHIM,32.5,49.8,31/46,14.08,Exceeded Threshold - Exceeded FPI,NOV,1
ARLENE,11,17.8,31/46,3.56,,DEC,0
VERA CRUZ,30.7,48.3,28/42,12.3,Exceeded Threshold - Exceeded FPI,JAN,1
ERRINGER,14.7,16.5,31/45,3.3,,OCT,0
DE MILLE,17.8,36.9,31/46,12.91,High Wind Trend - Exceeded FPI,DEC,1
ANTON,15.7,46.1,31/46,14.03,Exceeded Threshold - Exceeded FPI,NOV,1
ANTON,14.3,19.1,31/46,3.82,,NOV,0
TAPO,27.4,38.9,31/46,13.9,High Wind Trend - Exceeded FPI,DEC,1
SUTT,10.5,19.6,31/46,3.92,,OCT,0
PHEASANT,7.5,16.8,31/45,3.36,,OCT,0
Energy,37,51,31/46,12.18,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
Exceeded Threshold ROBINSON CREEK,39.3,57,31/46,11.25,Exceeded FPI,NOV,1
FERRARA,15.2,39.6,31/46,14.2,High Wind Trend - Exceeded FPI,DEC,1
CALGROVE,30.1,46.9,31/46,12.7,Exceeded Threshold - Exceeded FPI,JAN,1
DONLON,11.4,18.1,31/46,3.62,,OCT,0
ALOLA #2,14.8,18.6,31/44,3.72,,DEC,0
CLUB OAKS,29.7,44.4,31/46,13,High Wind Trend - Exceeded FPI,DEC,1
STUBBY,11.3,20.9,31/46,4.18,,NOV,0
CORSAIR,35.4,52.1,30/42,12,Exceeded Threshold - Exceeded FPI,JAN,1
LOPEZ,19.2,41.2,31/46,14.06,High Wind Trend - Exceeded FPI,NOV,1
CALSTATE,42.62,65.25,31/46,13.95,High Wind Trend - Exceeded FPI,NOV,1
BENCH,11.2,21.9,29/42,4.38,,DEC,0
ANGUS,12.4,45.7,31/46,12.06,High Wind Trend - Exceeded FPI,NOV,1
SUTT,29.7,44.4,31/46,13,High Wind Trend - Exceeded FPI,DEC,1
ROBINSON CREEK,12.2,19,31/46,3.8,,NOV,0
DUKE,13.8,19.2,30/46,3.84,,OCT,0
CALSTATE,37,55.2,31/46,13.53,Exceeded Threshold - Exceeded FPI,JAN,1
PATRICIA,10.8,18.6,31/46,3.72,,DEC,0
NORTHPARK,26.1,46,31/46,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
METTLER,20.3,33.3,23/37,12,High Wind Trend - Exceeded FPI,DEC,1
DAVENPORT,14.4,20,31/46,4,,NOV,0
FERRARA,11.5,19,31/46,3.8,,DEC,0
RED BOX,9.5,15.9,31/45,3.18,,OCT,0
MARCUS,29.8,43.7,31/46,12,High Wind Trend - Exceeded FPI,JAN,1
PETIT,9.9,17.4,31/46,3.48,,DEC,0
ENCHANTED,14.6,21,31/46,4.2,,OCT,0
BIRCHIM,12.2,19.9,31/46,3.98,,DEC,0
SHOVEL,12.6,20.5,25/40,4.1,,NOV,0
BIG ROCK,10.5,20.1,31/46,4.02,,OCT,0
VERA CRUZ,27.8,36.5,28/42,13.9,High Wind Trend - Exceeded FPI,DEC,1
HAMPSHIRE,29.5,46.8,31/45,12.4,Exceeded Threshold - Exceeded FPI,JAN,1
CUTHBERT,11.1,19.6,31/46,3.92,,OCT,0
DAVENPORT,13.5,18.2,31/46,3.64,,OCT,0
SONOMA,27.9,44.1,28/39,13,Exceeded Threshold - Exceeded FPI,NOV,1
HORSE,27,50.8,31/46,12,Exceeded Threshold - Exceeded FPI,DEC,1
HILLFIELD,14.7,20.1,31/46,4.02,,DEC,0
BUCKNER,28.7,54.6,31/45,12.4,Exceeded Threshold - Exceeded FPI,JAN,1
